runner_id,birth_t,death_t,lifetime,path_length,unique_nodes,path_novelty,revisit_rate,runner_mass,mass_density,loop_score,escape_score,mean_intensity,peak_intensity,bridge_score,collapse_contribution,classification,path
32,0,41,42,41,7,0.17073170731707318,0.8292682926829268,2.693041061608733,0.3847201516583904,0.23039761712457268,0.040475488749964046,0.06568392833192031,0.12902113136826326,0.3884912289534499,0.11023442011769186,diffuse_runner,variable:14 -> clause:73 -> variable:23 -> clause:114 -> variable:5 -> variable:19 -> clause:82
33,46,56,11,11,3,0.2727272727272727,0.7272727272727273,0.7405295104387744,0.24684317014625812,0.14398146443698812,0.026383222082905496,0.06732086458534313,0.0866789060068845,0.18534074000209316,0.02194936185946475,diffuse_runner,clause:52 -> variable:19 -> clause:39
34,45,59,15,15,3,0.2,0.8,0.935760131537084,0.31192004384569466,0.1902067403018546,0.02051630424970549,0.06238400876913894,0.08072718428342263,0.194444567891542,0.02756177434458217,diffuse_runner,clause:21 -> clause:24 -> variable:30 -> clause:24
35,49,60,12,10,3,0.3,0.7,0.42410255388939727,0.14136751796313243,0.08670061221891996,0.04339302340267963,0.04241025538893973,0.046071671301287004,0.23880247488870177,0.10570315031148286,diffuse_runner,variable:5 -> clause:58 -> clause:42
36,50,60,11,11,3,0.2727272727272727,0.7272727272727273,0.5259485491319923,0.17531618304399743,0.10848372584067421,0.0474360150186144,0.047813504466544754,0.07588558356247516,0.27522812867364127,0.13195595561563084,diffuse_runner,variable:0 -> variable:30 -> variable:8
37,51,60,10,9,4,0.4444444444444444,0.5555555555555556,0.41319907096947806,0.10329976774236951,0.05201556416014107,0.04975712895130573,0.04591100788549756,0.06330661206914087,0.21909834148391844,0.010973927881855633,diffuse_runner,clause:54 -> variable:30 -> variable:0 -> variable:15
38,43,61,19,19,4,0.21052631578947367,0.7894736842105263,1.1266465768492804,0.2816616442123201,0.17349700442487292,0.034464870010147086,0.059297188255225286,0.08667399376617702,0.2975341579605013,0.050216263135513695,diffuse_runner,clause:42 -> clause:52 -> variable:19 -> variable:8
39,74,81,8,6,3,0.5,0.5,0.25808068366084025,0.08602689455361341,0.0396062450133764,0.05568240175617711,0.043013447276806706,0.046916998713252084,0.20731246258875882,0.03718335174700109,diffuse_runner,variable:28 -> variable:11 -> clause:120
40,80,92,13,10,5,0.5,0.5,0.48647973346314566,0.09729594669262913,0.044334414515012945,0.0797562911342524,0.048647973346314564,0.06714097434352428,0.2582108979108857,0.11776084417457901,exploratory_runner,variable:1 -> variable:6 -> variable:13 -> clause:125 -> clause:109
41,64,105,42,40,7,0.175,0.825,2.8769165664360776,0.41098808091943967,0.2403033529082636,0.03343642465886207,0.07192291416090194,0.1556560149465117,0.3588141273969381,0.032490972836083945,diffuse_runner,clause:7 -> variable:1 -> variable:6 -> variable:16 -> variable:19 -> variable:21 -> clause:58
42,0,107,108,107,11,0.102803738317757,0.897196261682243,5.430649837311842,0.49369543975562197,0.2965408417065149,0.032244550470635874,0.050753736797306936,0.07761533416057118,0.5130288434772015,0.11137212923608991,diffuse_runner,variable:10 -> clause:41 -> variable:31 -> variable:13 -> variable:4 -> variable:31 -> ...:-1 -> clause:125 -> clause:62 -> clause:71 -> clause:39 -> variable:19 -> variable:31
