sprite_id,kind,component_id,birth_t,death_t,lifetime,peak_intensity,mean_intensity,mean_influence,mean_entropy,signed_motion,spin_displacement,bridge_score,collapse_contribution,classification
54,clause,11,201,205,5,0.021595540901269725,0.021430307825515575,0.07128021050708028,0.4775877690166892,0.00021632773738523847,0.005692998915875963,0.029733089825782332,0.005808898857400421,hotspot
55,clause,11,208,214,7,0.022304472692119506,0.02176682362566446,0.0729042703777635,0.4813118658940317,0.0003357018504431125,-0.03984575046799646,0.049309052627630905,0.0053257805798652,hotspot
56,clause,12,0,15,16,0.04979755171769955,0.01567941603380579,0.12066319437866911,0.36192818847841385,-0.1395646785569836,0.2629294065816635,0.13953320364331728,0.1259243484733779,hotspot
57,clause,12,19,25,7,0.007808921953097956,0.007454648437283764,0.04209225659763362,0.25696896109856016,0.0014185918163792319,0.0007071222945789768,0.03614475381652411,0.001849871964174036,hotspot
58,clause,12,81,91,11,0.008691607494303283,0.007742683629647473,0.04630604601317414,0.26305049066058545,0.0006516419211395064,-0.045106845534630235,0.07207052640200037,0.006433250996306054,hotspot
59,clause,12,119,123,5,0.006914330866822674,0.006770333110182579,0.05428209258874067,0.24091497798319578,0.0010633111439314821,-0.014313817828017272,0.03336427613760983,0.0027686204954829787,hotspot
60,clause,12,135,140,6,0.0073616341532649655,0.007001688172045581,0.05833538639748742,0.2462646257508654,-0.0003995896531622384,-0.0008772148455470918,0.03188570347335333,0.0024759387108116235,hotspot
61,clause,12,165,177,13,0.007453251741328334,0.007129243128804462,0.054220042566129334,0.24932916675235475,-0.0007957937427282083,0.019753582955867932,0.06455760591480035,0.0032280999388097312,hotspot
62,clause,13,0,20,21,0.04025431227731824,0.013191604897510726,0.12394415379154078,0.3165423398969737,-0.14004276733465512,0.4056626833303081,0.18025240289859823,0.13650190885063013,hotspot
63,clause,13,75,78,4,0.002718254209829468,0.0025973195123653176,0.0800507741693378,0.12078177431930345,-0.00022512229051919325,0.002197338102817692,0.023105506783044377,0.0012728791184349003,hotspot
64,clause,13,178,188,11,0.003438365810923792,0.002965549069203315,0.056902101721602656,0.13340894133535175,0.0001350211459213435,-0.014031551700800449,0.05600587776635886,0.0007391951478182567,hotspot
65,clause,13,200,214,15,0.003584560988153496,0.0031036547184731863,0.06795299718737474,0.13797589726708603,0.0008372043125709008,-0.021670084918398835,0.0716875196177357,0.0011111260506083724,hotspot
66,clause,13,220,225,6,0.002657842132603687,0.002600840172082533,0.06146776865183529,0.12097974153928824,0.0005361601629398256,-0.007859008961012715,0.034308169036369664,0.0006485368495001996,hotspot
67,clause,14,0,5,6,0.04625931490965189,0.0363984693781996,0.16612785964103705,0.6005223353627024,-0.06946509841047589,0.11471942978487998,0.06759859442208059,0.07083830312187027,hotspot
68,clause,14,19,26,8,0.016542742387583596,0.015741421287711343,0.041328048992640504,0.40579027805654916,-0.0005133458959147574,-0.02612031387349445,0.048909393695962006,0.0046032384682192515,hotspot
69,clause,14,47,54,8,0.016948377527247857,0.015942436038704395,0.041275456142007616,0.40857978298356634,-0.0015984479676282443,0.011178723359840373,0.04386929934892608,0.0061909120833717945,hotspot
70,clause,14,56,60,5,0.01618549831406046,0.015503530417735606,0.039498319269367185,0.40240337349302424,0.00012155182260423225,-0.01607945570726812,0.032602395031057,0.0038451912426565294,hotspot
71,clause,14,197,210,14,0.015794241499560102,0.015569135245621119,0.039751571546540056,0.4033997732168898,-4.151499369890732e-05,-0.025361502264910275,0.06952653719567539,0.0038917877910604032,hotspot
72,clause,14,220,226,7,0.015674012816665153,0.015315407072087612,0.038789989475472235,0.39970962613079486,-0.0015084049756453888,-0.004754430328683876,0.03755361233698143,0.005913284617848454,hotspot
73,clause,14,313,319,7,0.015549064575243741,0.015207822644069365,0.03859424695232256,0.3981462352003674,0.0029586165903873474,-0.012856376244436654,0.04159492560833189,0.0047210154135825235,hotspot
74,clause,15,223,227,5,0.02554499342861783,0.02540099199234666,0.08153755247671057,0.5194295842876633,-0.0008257351490416481,-0.013732734908706301,0.03176837260316654,0.007157533596066457,hotspot
75,clause,15,258,267,10,0.026430616812666285,0.02589916915174088,0.08386641963999104,0.5242099802903911,-0.0007883699004345573,-0.0024532539984510326,0.048475585214225285,0.0072325489506395385,hotspot
76,clause,15,279,319,41,0.02744148391995288,0.026375527230853457,0.08610369783633076,0.5287031081147157,0.007814049604365492,0.01532269775942377,0.12259046018515228,0.010297521127465846,hotspot
77,clause,16,0,5,6,0.025145383118611822,0.023002452215822266,0.17859341970895795,0.48886689752397255,-0.024514649844566305,0.07241601464794341,0.055213063961785006,0.03434160760526527,hotspot
78,clause,16,16,33,18,0.02188863837037567,0.018739481192323666,0.07986729919436435,0.4443506739478453,-0.0025120160856779705,-0.03345458752216628,0.08964608691262776,0.012885121390613541,hotspot
79,clause,16,94,100,7,0.01920920477924211,0.01825525393015976,0.0745007687967005,0.43883836779563234,-0.00046144062086471427,-0.006384816781447478,0.03811794423206424,0.005105500008495749,hotspot
80,clause,16,185,190,6,0.01727467355915449,0.01711006614942074,0.08799275174645677,0.423354683870746,0.00029824011145694607,-0.016539055015245288,0.04017691555019812,0.0064638216550242066,hotspot
81,clause,16,217,225,9,0.01795755682733857,0.01751321387057976,0.08389113083489372,0.42887297385346534,-3.625102688067927e-05,0.00825628120110622,0.048622331941331996,0.005794257131850991,hotspot
82,clause,16,227,231,5,0.01743030117337034,0.017234005653359,0.08325827944114639,0.4251895027304099,-0.000470803295944483,-0.015353269155011812,0.0323194157625517,0.0048763275290033565,hotspot
83,clause,16,242,246,5,0.01727652983602985,0.017162916717099474,0.08989148308117631,0.4240008844015227,0.0009693173780462305,-0.0019081713012658041,0.02840495666135035,0.004771596049482672,hotspot
84,clause,17,0,11,12,0.06043691558277836,0.04949693732467338,0.3333059522344953,0.6691235194675977,-0.07652038066133382,0.06833717353098906,0.07693352764488076,0.07650708480723264,hotspot
85,clause,17,80,87,8,0.02651490863873687,0.02529218748841399,0.1131736049812237,0.5167046833066922,-0.0014534794533820616,0.00867398596367805,0.04300978822645739,0.007898584335799319,hotspot
86,clause,17,97,101,5,0.026094031409535624,0.025089203590099713,0.11174851447482989,0.5148308100605583,-0.002142231404360026,0.00854353453369866,0.029991933334395378,0.008652335726477126,hotspot
87,clause,17,112,119,8,0.02557097090922645,0.024753202576808624,0.10698734111292407,0.5116626586107859,0.0008602554312216876,-0.008366874305344024,0.042904107702752305,0.006038820497112154,hotspot
88,clause,17,128,138,11,0.024935090808088763,0.024273432872511068,0.10596755457584188,0.5068690068125681,-0.00014224490144558455,0.015494503071176446,0.05650312100818882,0.006095550791301962,hotspot
89,clause,17,144,148,5,0.024045947559837626,0.023810589505263713,0.10513387044665472,0.5021165917075998,5.4936726585005924e-05,0.005743244001850306,0.02955509182613613,0.0062259695752182095,hotspot
90,clause,17,152,158,7,0.024854087420303178,0.024339584445164316,0.11012134407991414,0.5073449239044099,-0.0002375443158553897,0.0034249150107635296,0.03727244531716027,0.006366636444598098,hotspot
91,clause,18,0,9,10,0.029630151905094985,0.025497720536461276,0.09832614467488845,0.5170618773417278,-0.04004652963460642,0.041222386506847425,0.06147567946289408,0.049598724332284905,hotspot
92,clause,18,67,70,4,0.01868740546622815,0.018057967278649112,0.06346959605819716,0.4367185838146739,0.0030493608483361107,-0.0028881765789496765,0.02509570772086567,0.005885386832123495,hotspot
93,clause,18,78,82,5,0.018694257426989113,0.018078653869989747,0.057975357906165134,0.437191312910368,0.0045947882107430504,-0.004745612462585418,0.030750040944986134,0.006049323038559574,hotspot
