sprite_id,kind,component_id,birth_t,death_t,lifetime,peak_intensity,mean_intensity,mean_influence,mean_entropy,signed_motion,spin_displacement,bridge_score,collapse_contribution,classification
38,clause,6,58,94,37,0.003324075684547328,0.0018647825488648522,0.0011941577999541658,0.09270614871183663,8.67818265594322e-05,-0.0001606927013648729,0.10730261022077349,0.00046532790186531466,hotspot
39,clause,7,80,91,12,0.2101954220723553,0.17056367099761668,0.7779644702344862,0.9382900873875163,0.0038811509971249936,0.03236434489375395,0.0692313858886456,0.03931597658333248,hotspot
40,clause,7,98,130,33,0.4634275603914119,0.29255612124319796,1.2169826655796316,0.9732333585703216,0.00039758175934534457,-0.02608056128999514,0.11058697305970884,0.056703281309303376,standing_wave
41,clause,7,165,177,13,0.22109128087400923,0.18653748145963786,0.844972330777037,0.9501360003912706,0.0052311743153649615,0.00941799693804396,0.07060958210829353,0.046743330047975575,hotspot
42,clause,8,13,17,5,0.026888187826094208,0.026043039488523177,0.18048236531384207,0.5210252566917165,3.678174389425137e-05,-0.06447746043092273,0.048227204569243204,0.0063455036694916546,hotspot
43,clause,8,21,26,6,0.03454434163732521,0.031213842038122636,0.24901127077839424,0.5624415647276869,0.00821448689371572,-0.00023759146001353648,0.03538189429034786,0.010460442628362161,hotspot
44,clause,8,44,59,16,0.03797355532087651,0.03216813411604466,0.16115410510820863,0.5742285797923821,0.013391198239019367,0.07321599471595511,0.10034371585948965,0.015413354983191754,hotspot
45,clause,8,92,100,9,0.03868734512864458,0.032499592522094965,0.18425566398807772,0.575158723950755,0.005685888907904418,-0.015761366016987854,0.06926183979096084,0.023369114419395095,hotspot
46,clause,8,135,141,7,0.027203931417285013,0.02603530545739046,0.16792137772234014,0.5215220608701616,0.0010555017043292064,0.005831100292422758,0.037926489385396875,0.006343667054854493,hotspot
47,clause,8,201,205,5,0.026523720821957364,0.025992160144660253,0.14509362538935539,0.5221908395923279,0.0014559041012837531,0.02261715976389192,0.03545463569859497,0.00686750563131429,hotspot
48,clause,9,0,6,7,0.044899789811181645,0.0327852586413681,0.13573574627936902,0.5754468292268793,-0.06696315196716435,0.046354674589442035,0.05140282474913724,0.06834377562177582,hotspot
49,clause,9,58,73,16,0.0331921764061537,0.02622970623912834,0.11303814813443577,0.5245087340958375,-0.0036556317930832583,-0.07278812583071145,0.09345458510417548,0.013160281917468309,hotspot
50,clause,9,90,96,7,0.02307566026887326,0.022586807120793053,0.07740849041983897,0.4902350718333814,0.00035420046926618043,0.051019946076842695,0.059166637856643806,0.010405689012633076,hotspot
51,clause,9,203,224,22,0.026157798734955787,0.023519425527125437,0.07991695049750226,0.49983714650726885,0.0006020581100878164,-0.048172654152372,0.09756702701306641,0.005744743319114984,hotspot
52,clause,9,228,232,5,0.02230937550160208,0.022123627040067945,0.06952125443096975,0.4854780358198072,-0.002221083834985038,0.00021338852086930093,0.027101697075600065,0.008141540596130632,hotspot
53,clause,10,0,7,8,0.014263373736163324,0.010500187249026377,0.17190760637089242,0.31011926591004296,-0.039185468794132164,0.15052691187097028,0.08579155742577543,0.06097513547338883,hotspot
54,clause,10,19,36,18,0.0054097557386787965,0.004836854881759645,0.05723719204005892,0.19074776336238017,-0.0007078374097930322,-0.14723688435072677,0.11691915333764671,0.0026915912647882843,hotspot
55,clause,10,73,86,14,0.007112705588730553,0.005666456285049279,0.04564398110449601,0.21227619813175697,-0.0005643607820695826,-0.1036300129049085,0.09373429714077289,0.0025976850769878906,hotspot
56,clause,10,164,174,11,0.004567442259456788,0.004243583953883364,0.029335540010436315,0.17412833473057815,3.428526630656556e-05,-0.02636317182192749,0.06087071152972347,0.0016147161425774438,hotspot
57,clause,10,192,196,5,0.004379141257262078,0.004253758127265525,0.02675626062971139,0.17448459903414051,-0.00045497604861688065,0.010367794411815207,0.03104392881558725,0.0023448972358519693,hotspot
58,clause,11,0,3,4,0.025544371817869782,0.020801237911267294,0.22573449726881134,0.4609930358829336,-0.03342041006663038,0.06960822737399731,0.04499960833181913,0.04393913379015528,hotspot
59,clause,11,13,35,23,0.026200329938022952,0.01992568029293775,0.16189667667334964,0.45367090188220754,-0.0019149910184441954,-0.13339791284882432,0.12483043058124961,0.007621417594107248,hotspot
60,clause,11,39,53,15,0.020432075845173918,0.01841186945660224,0.07776518337849668,0.44007995149532836,0.002604359579391591,0.0794493654977342,0.08959040075886966,0.004519750311439892,hotspot
